BurstID,Date,MJD(topo@1.5GHz),MJD(bary@inf freq.),DM(pc/cc),DM_err(pc/cc),Weff(ms),Weff_err(ms),Flux(mJy),Flux_err(mJy),Bandwidth(MHz),Bandwidth_err(MHz),Lower_Freq.(MHz),Lower_Freq_err(MHz),Center_Freq.(MHz),Center_Freq_err(MHz),Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,Fluence(mJy ms),Fluence_err(mJy ms),Energy(erg),Energy_err(erg),note,bestfit
B00035,20240209,60349.170105328,60349.165758660,528.7,0.2,4.96,0.5,88.92,2.79,208.8,18.4,1004.8,11.7,1109.2,9.2,1213.6,14.2,0.000049152,4096,440.84,46.89,3.91393E+37,5.40643E+36,,CDF
B00036,20240209,60349.170243085,60349.165896415,528.9,0.1,2.84,0.12,163.81,8.58,318.5,8.5,1081.6,7.2,1240.9,4.2,1400.1,4.4,0.000049152,4096,465.65,31.75,6.3063E+37,4.61747E+36,,CDF
B00037,20240213,60353.217483491,60353.213105141,529.1,0.2,6.26,0.82,98.59,2.06,136.4,7.6,1002.5,0.9,1070.7,3.8,1138.9,7.5,0.000049152,4096,617.34,82.29,3.5805E+37,5.17271E+36,,CDF
B00038,20240213,60353.218231585,60353.213853231,529.1,0.2,4.3,0.22,183.86,3.8,168.9,16.5,1002.5,0.9,1087,8.3,1171.4,16.5,0.000049152,4096,790.82,43,5.67949E+37,6.35001E+36,,CDF
B00039,20240213,60353.218811897,60353.214433541,529.1,0.1,1.62,0.28,75.39,2.97,100.8,6.6,998.8,3.6,1049.2,1.5,1099.6,3.6,0.000049152,4096,122.13,21.97,5.23469E+36,1.00217E+36,,Gaussian
B00040,20240213,60353.218812625,60353.214434269,529.1,0.1,4.44,0.1,281.18,12.63,326.3,6.2,1006.9,3,1170.1,3,1333.2,5.4,0.000049152,4096,1249.22,62.76,1.73324E+38,9.30949E+36,,CDF
B00041,20240213,60353.220050650,60353.215672288,529.1,0.1,2.81,0.05,1098.96,36.35,416.9,8.1,1003.6,1.9,1212,4,1420.5,7.8,0.000049152,4096,3091.74,116.51,5.48074E+38,2.32366E+37,,CDF
B00042,20240213,60353.221422933,60353.217044565,529.8,0.1,5.1,0.15,301.9,8.96,339.7,6.9,1002.5,0.9,1172.3,3.4,1342.2,6.8,0.000049152,4096,1540.13,64.31,2.22462E+38,1.03298E+37,,CDF
B00043,20240213,60353.222541373,60353.218162999,529.6,0.3,2.59,0.45,41.23,2.18,191.5,9.2,994.5,5.1,1090.3,2.1,1186,5.1,0.000049152,4096,106.71,19.34,8.68947E+36,1.62915E+36,,Gaussian
B00044,20240213,60353.222942308,60353.218563933,531.4,0.2,3.64,0.21,87.48,4.06,383.4,5.8,1115,5.6,1306.7,2.9,1498.4,1.7,0.000049152,4096,318.26,23.82,5.18841E+37,3.96154E+36,,CDF
B00045,20240213,60353.224609385,60353.220231002,527.9,0.1,1.21,0.05,436.16,15.17,350.3,10.1,1003.1,1.4,1178.2,5,1353.4,10,0.000049152,4096,526.03,29.03,7.83535E+37,4.87807E+36,,CDF
B00046,20240213,60353.227022798,60353.222644404,528.3,0.1,2.93,0.17,110.96,2.4,218.4,11.4,1004.2,6.2,1113.4,2.5,1222.6,6.2,0.000049152,4096,324.56,20.43,3.01408E+37,2.4648E+36,,Gaussian
B00047,20240213,60353.227841534,60353.223463136,530.8,0.8,1.78,0.28,55.83,2.35,198.4,6.7,987.4,3.7,1086.6,1.5,1185.8,3.7,0.000049152,4096,99.3,16.35,8.37738E+36,1.40832E+36,,Gaussian
B00048,20240213,60353.228472864,60353.224094463,529,0.4,4.46,0.47,138.82,3.6,66.2,7.2,1002.7,1.2,1035.8,3.6,1068.8,7.1,0.000049152,4096,618.55,66.56,1.74116E+37,2.664E+36,,CDF
B00049,20240213,60353.232474842,60353.228096422,529.9,0.1,2.55,0.05,796.49,25.83,351.8,4.9,1014.3,2.9,1190.2,2.5,1366.1,4,0.000049152,4096,2027.65,77.95,3.03314E+38,1.24026E+37,,CDF
B00050,20240213,60353.235407770,60353.231029336,529.1,0.1,2.61,0.08,301.5,6.49,213.5,8.9,1008.9,4.8,1115.7,1.9,1222.4,4.8,0.000049152,4096,788.26,28.92,7.15602E+37,3.97378E+36,,Gaussian
B00051,20240215,60355.132294794,60355.127910974,527.4,0.2,2.35,0.5,32.79,0.76,188.3,17.7,979.1,9.6,1073.2,3.8,1167.4,9.6,0.000049152,4096,77.14,16.65,6.17654E+36,1.45412E+36,,Gaussian
B00052,20240215,60355.133135738,60355.128751917,527.7,NaN ,1.53,0.21,43.06,2.65,161.8,4.2,1017.4,2.3,1098.3,1,1179.2,2.3,0.000049152,4096,65.97,9.75,4.53859E+36,6.80752E+35,,Gaussian
B00053,20240215,60355.134103893,60355.129720071,528.6,0.1,3.23,0.59,39.17,1.05,224.5,19.7,1056.2,11.5,1168.5,9.8,1280.7,16,0.000049152,4096,126.61,23.29,1.20857E+37,2.46341E+36,,CDF
B00054,20240215,60355.135134392,60355.130750569,526,0.3,1.09,0.08,286.5,6.95,102,7.5,1002.6,1,1053.5,3.7,1104.5,7.4,0.000049152,4096,310.9,23.48,1.34841E+37,1.42141E+36,,CDF
B00055,20240215,60355.135389845,60355.131006022,528.1,0.1,3.76,0.1,253.79,9.31,321.4,12.1,1002.7,1,1163.4,6.1,1324.1,12.1,0.000049152,4096,955.23,42.97,1.30544E+38,7.65794E+36,,CDF
