,BurstID,Date,MJD,MJD(bary@inf freq.),DM,DMError,width,widtherror,flux,fluxerror,bandwidth,bandwidtherror,Lower_Freq.(MHz),Lower_Freq_err(MHz),feakfrequency,feakfrequencyerror,Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,fluence_mJyms,fluenceerror,energy,energyerror,note,bestfit,saturation_tag
72,B00073,20240221,60361.18211966,60361.177758672,528.4,0.1,3.03,0.26,49.47,0.9,267.3,12.4,1027.8,11.6,1161.4,6.2,1295.1,4.3,4.9152e-05,4096,149.92,13.23,1.7039200000000002e+37,1.69873e+36,NA,CDF,False
73,B00074,20240221,60361.182539627,60361.178178642,529.9,0.2,3.52,0.31,99.15,4.52,79.5,1.7,995.4,0.9,1035.2,0.4,1074.9,0.9,4.9152e-05,4096,348.73,34.33,1.17887e+37,1.18758e+36,NA,Gaussian,False
74,B00075,20240221,60361.182736931,60361.178375948,528.8,0.1,1.92,0.09,133.06,2.28,205.4,18.2,1078.3,6.4,1181.0,9.1,1283.7,17.1,4.9152e-05,4096,255.71,12.43,2.2333e+37,2.25711e+36,NA,CDF,False
75,B00076,20240221,60361.182893581,60361.178532599,528.3,0.3,1.84,0.14,150.36,3.74,107.9,7.3,1002.6,0.9,1056.5,3.6,1110.5,7.2,4.9152e-05,4096,277.36,21.6,1.27253e+37,1.31287e+36,NA,CDF,False
76,B00077,20240221,60361.183378479,60361.179017502,529.3,0.1,2.05,0.09,98.17,3.83,410.8,26.8,1082.1,24.6,1287.5,13.4,1492.9,10.7,4.9152e-05,4096,201.67,11.74,3.5227800000000003e+37,3.08036e+36,NA,CDF,False
77,B00078,20240221,60361.183483514,60361.179122538,529.9,0.9,5.3,0.47,66.61,1.56,134.0,20.2,991.8,11.0,1058.8,4.3,1125.7,11.0,4.9152e-05,4096,353.16,32.14,2.01227e+37,3.5432699999999997e+36,NA,Gaussian,False
78,B00079,20240221,60361.184886003,60361.180525039,526.2,1,3.82,0.63,55.16,1.33,115.2,10.1,1004.5,0.9,1062.1,5.1,1119.7,10.1,4.9152e-05,4096,210.47,34.89,1.03096e+37,1.93317e+36,NA,CDF,False
79,B00080,20240221,60361.186107726,60361.181746773,528.1,3.4,5.31,0.13,247.77,5.54,276.0,4.1,1002.6,0.9,1140.5,2.1,1278.5,4.0,4.9152e-05,4096,1314.99,43.69,1.5432499999999999e+38,5.616600000000001e+36,NA,CDF,False
80,B00081,20240221,60361.186107885,60361.181746932,528.0,3.1,2.95,0.08,415.16,10.84,180.2,4.3,1002.6,0.9,1092.7,2.1,1182.8,4.2,4.9152e-05,4096,1224.2,45.23,9.38016e+37,4.12593e+36,NA,CDF,False
81,B00082,20240221,60361.186136762,60361.181775809,528.2,0.1,1.98,0.16,129.17,7.17,102.6,2.5,992.9,1.4,1044.2,0.5,1095.4,1.4,4.9152e-05,4096,255.32,24.91,1.11387e+37,1.1201000000000001e+36,NA,Gaussian,False
