id,toa_utc,fluence,bandwidth,cent_freq,2bit-wb-tag,burst-index,telescope,toa_start,toa_end,exposure_since_previous_h,exposure_until_next_h
B94-o8,60382.215102994,8.97,128.0,1424.0,0.0,94,o8,60382.21356914982,60382.215102994,0.036812260339502245,0.2557379033532925
B95-o8,60382.22575873997,20.07,128.0,1424.0,0.0,95,o8,60382.215102994,60382.22575873997,0.2557379033532925,1.978843179938849
B96-o8,60382.30821053914,17.78,128.0,1424.0,0.0,96,o8,60382.22575873997,60382.30821053914,1.978843179938849,0.7330273454426788
B97-o8,60382.3387533452,11.16,128.0,1424.0,0.0,97,o8,60382.30821053914,60382.3387533452,0.7330273454426788,0.6722890951205045
B98-o8,60382.36676539083,16.84,77.0,1424.0,0.0,98,o8,60382.3387533452,60382.36676539083,0.6722890951205045,0.49790593871148303
B99-o8,60382.38751147161,5.3,52.0,1424.0,0.0,99,o8,60382.36676539083,60382.38751147161,0.49790593871148303,1.734834959905129
B100-st,60382.4597962616,31.78,98.0,1381.0,0.0,100,st,60382.38751147161,60382.4597962616,1.734834959905129,3.023084230371751
B101-st,60382.586024355645,20.92,98.0,1381.0,0.0,101,st,60382.4597962616,60382.586024355645,3.023084230371751,3.018534181814175
B102-st,60383.26844450999,530.21,98.0,1381.0,0.0,102,st,60382.586024355645,60383.26844450999,3.018534181814175,2.0477904987637885
B103-st,60383.3537691141,22.84,57.0,1381.0,0.0,103,st,60383.26844450999,60383.3537691141,2.0477904987637885,12.053902931220364
B104-st,60384.41118088184,81.12,52.0,1381.0,0.0,104,st,60383.3537691141,60384.41118088184,12.053902931220364,21.00732754706405
B106-o8,60386.39685228792,7.96,72.0,1424.0,0.0,106,o8,60384.41118088184,60386.39685228792,21.00732754706405,2.1334231948130764
B107-o8,60386.48574492104,50.6,128.0,1424.0,0.0,107,o8,60386.39685228792,60386.48574492104,2.1334231948130764,1.9648663354455493
B108-o8,60386.56761435168,14.24,128.0,1424.0,0.0,108,o8,60386.48574492104,60386.56761435168,1.9648663354455493,5.908732665760908
B109-st,60387.36717398565,11.55,98.0,1381.0,0.0,109,st,60386.56761435168,60387.36717398565,5.908732665760908,5.400233203545213e-05
B110-wb,60387.36717623575,10.14,128.0,1271.0,0.0,110,wb,60387.36717398565,60387.36717623575,5.400233203545213e-05,3.9877151777618565
B112-wb,60387.53333103482,23.71,128.0,1271.0,0.0,112,wb,60387.36717623575,60387.53333103482,3.9877151777618565,8.72188976733014
B113-st,60388.450574899005,18.82,57.0,1381.0,0.0,113,st,60387.53333103482,60388.450574899005,8.72188976733014,17.203265089716297
B114-st,60390.27652105175,54.03,98.0,1381.0,0.0,114,st,60388.450574899005,60390.27652105175,17.203265089716297,3.5801671020453796
B115-st,60390.42576620423,12.49,98.0,1381.0,0.0,115,st,60390.27652105175,60390.42576620423,3.5801671020453796,14.155422465701122
B116-st,60391.56906991559,14.54,98.0,1381.0,0.0,116,st,60390.42576620423,60391.56906991559,14.155422465701122,11.248228841694072
B117-st,60392.592848971,39.2,98.0,1381.0,0.0,117,st,60391.56906991559,60392.592848971,11.248228841694072,9.717473601107486
B118-st,60393.55449641828,16.14,98.0,1381.0,0.0,118,st,60392.592848971,60393.55449641828,9.717473601107486,5.698238871060312
B119-st,60394.34741466928,23.86,98.0,1381.0,0.0,119,st,60393.55449641828,60394.34741466928,5.698238871060312,5.745534187182784
B120-st,60394.5868739031,52.71,18.0,1414.0,0.0,120,st,60394.34741466928,60394.5868739031,5.745534187182784,13.566292062343564
B121-st,60396.248228529286,137.86,98.0,1381.0,0.0,121,st,60394.5868739031,60396.248228529286,13.566292062343564,25.458583285217173
B122-tr,60398.43767253517,13.44,256.0,1418.0,0.0,122,tr,60396.248228529286,60398.43767253517,25.458583285217173,120.2424305244349
B123-st,60424.43374515451,12.45,60.0,1381.0,0.0,123,st,60398.43767253517,60424.43374515451,120.2424305244349,10.87993956101127
B124-st,60425.4424318362,13.36,98.0,1381.0,0.0,124,st,60424.43374515451,60425.4424318362,10.87993956101127,53.85630038310774
B125-st,60431.43777544297,1168.39,98.0,1381.0,0.0,125,st,60425.4424318362,60431.43777544297,53.85630038310774,9.135492330417037
B126-wb,60432.38560517579,36.38,128.0,1271.0,0.0,126,wb,60431.43777544297,60432.38560517579,9.135492330417037,5.857863665674813
B127-wb,60433.203601985886,21.31,94.0,1271.0,0.0,127,wb,60432.38560517579,60433.203601985886,5.857863665674813,24.420952488610055
B128-o8,60435.32806621881,13.81,128.0,1424.0,0.0,128,o8,60433.203601985886,60435.32806621881,24.420952488610055,5.125422566605266
B129-wb,60436.09571013079,25.15,128.0,1271.0,1.0,129,wb,60435.32806621881,60436.09571013079,5.125422566605266,177.3346561557264
B130-wb,60453.09209543139,13.67,128.0,1271.0,0.0,130,wb,60436.09571013079,60453.09209543139,177.3346561557264,52.09858756681206
B131-st,60458.074220384005,22.4,98.0,1381.0,0.0,131,st,60453.09209543139,60458.074220384005,52.09858756681206,124.21263401792385
B132-wb,60471.113486318696,77.12,94.0,1271.0,1.0,132,wb,60458.074220384005,60471.113486318696,124.21263401792385,115.78802095813444
B133-wb,60506.1007383813,67.8,128.0,1271.0,1.0,133,wb,60471.113486318696,60506.1007383813,115.78802095813444,56.62039262952749
B134-tr,60563.9511970828,20.84,72.0,1444.0,0.0,134,tr,60506.1007383813,60563.9511970828,56.62039262952749,25.500016633537598
B135-wb,60573.9209933675,70.25,82.0,1271.0,0.0,135,wb,60563.9511970828,60573.9209933675,25.500016633537598,29.015814860758837
B136-wb,60581.87250988648,211.15,83.0,1271.0,0.0,136,wb,60573.9209933675,60581.87250988648,29.015814860758837,27.317258484545164
B137-wb,60586.95299864159,3982.85,128.0,1271.0,0.0,137,wb,60581.87250988648,60586.95299864159,27.317258484545164,172.45457651058678
B138-tr,60654.79400514649,6.79,128.0,1444.0,0.0,138,tr,60586.95299864159,60654.79400514649,172.45457651058678,6.369405925855972
B139-wb,60658.72064013613,118.2,24.0,1315.0,0.0,139,wb,60654.79400514649,60658.72064013613,6.369405925855972,27.82313870085636
B140-wb,60673.60990527511,173.43,128.0,1271.0,0.0,140,wb,60658.72064013613,60673.60990527511,27.82313870085636,7.092835671210196
B141-tr,60674.67263502189,805.41,128.0,1444.0,0.0,141,tr,60673.60990527511,60674.67263502189,7.092835671210196,10.19101867522113
B142-wb,60679.59050067575,30.91,128.0,1271.0,0.0,142,wb,60674.67263502189,60679.59050067575,10.19101867522113,1.0947748225880787
B143-wb,60679.63682631113,92.09,128.0,1271.0,0.0,143,wb,60679.59050067575,60679.63682631113,1.0947748225880787,0.8372507985332049
B144-wb,60679.67224730848,28.05,83.0,1271.0,0.0,144,wb,60679.63682631113,60679.67224730848,0.8372507985332049,0.9143000768381171
B145-wb,60679.71106529908,27.96,70.0,1271.0,0.0,145,wb,60679.67224730848,60679.71106529908,0.9143000768381171,0.08598183916183189
B146-wb,60679.71464787571,34.68,91.0,1271.0,0.0,146,wb,60679.71106529908,60679.71464787571,0.08598183916183189,0.7368821914424188
B147-wb,60679.74589898406,61.37,128.0,1271.0,0.0,147,wb,60679.71464787571,60679.74589898406,0.7368821914424188,1.518179688078817
B148-tr,60681.57453106828,28.14,0.0,1406.0,0.0,148,tr,60679.74589898406,60681.57453106828,1.518179688078817,2.151410482241772
B149-tr,60681.6691735682,42.9,128.0,1444.0,0.0,149,tr,60681.57453106828,60681.6691735682,2.151410482241772,2.095273675164208
B150-wb,60682.49802062725,17.23,128.0,1271.0,1.0,150,wb,60681.6691735682,60682.49802062725,2.095273675164208,5.707074525242206
B151-wb,60682.74004667099,41.12,128.0,1271.0,0.0,151,wb,60682.49802062725,60682.74004667099,5.707074525242206,3.719798423408065
B152-tr,60683.54646475714,33.93,78.0,1444.0,0.0,152,tr,60682.74004667099,60683.54646475714,3.719798423408065,1.0147121144109406
B153-tr,60683.588744428576,52.04,128.0,1444.0,0.0,153,tr,60683.54646475714,60683.588744428576,1.0147121144109406,0.8649725639261305
B154-tr,60683.62493542744,19.71,128.0,1444.0,0.0,154,tr,60683.588744428576,60683.62493542744,0.8649725639261305,0.7176304513122886
B155-tr,60683.654836696245,10.32,75.0,1444.0,0.0,155,tr,60683.62493542744,60683.654836696245,0.7176304513122886,0.7430124377715401
B156-wb,60683.68579554782,9.48,128.0,1271.0,0.0,156,wb,60683.654836696245,60683.68579554782,0.7430124377715401,5.205398411722854
B157-tr,60684.61053556827,7.74,128.0,1444.0,0.0,157,tr,60683.68579554782,60684.61053556827,5.205398411722854,14.796289076213725
B158-tr,60686.620640094014,31.86,128.0,1444.0,0.0,158,tr,60684.61053556827,60686.620640094014,14.796289076213725,48.665346928231884
B159-wb,60693.57456482895,25.16,128.0,1271.0,1.0,159,wb,60686.620640094014,60693.57456482895,48.665346928231884,14.559135846910067
B160-wb,60696.4132249655,14.02,128.0,1271.0,0.0,160,wb,60693.57456482895,60696.4132249655,14.559135846910067,3.8459369586780667
B161-wb,60696.574916477286,13.77,128.0,1271.0,1.0,161,wb,60696.4132249655,60696.574916477286,3.8459369586780667,9.039547849679366
B162-o8,60697.68941175066,30.27,12.0,1424.0,0.0,162,o8,60696.574916477286,60697.68941175066,9.039547849679366,5.598795149533544
B163-tr,60698.53842778187,184.49,128.0,1444.0,0.0,163,tr,60697.68941175066,60698.53842778187,5.598795149533544,181.68811395938974
B164-tr,60795.31635788554,7.51,96.0,1444.0,0.0,164,tr,60698.53842778187,60795.31635788554,181.68811395938974,1.1033785261097364
B165-tr,60795.36233199079,5.19,58.0,1444.0,0.0,165,tr,60795.31635788554,60795.36233199079,1.1033785261097364,7.93774374446366
B166-tr,60798.35714373731,11.93,128.0,1444.0,0.0,166,tr,60795.36233199079,60798.35714373731,7.93774374446366,5.488123104034457
B167-st,60803.220207163016,38.61,46.0,1381.0,0.0,167,st,60798.35714373731,60803.220207163016,5.488123104034457,14.439040346886031
B168-tr,60805.28389314219,6.23,128.0,1444.0,0.0,168,tr,60803.220207163016,60805.28389314219,14.439040346886031,0.16323329595616087
B169-tr,60805.29069452952,8.27,128.0,1444.0,0.0,169,tr,60805.28389314219,60805.29069452952,0.16323329595616087,1.6439851960167289
B170-wb,60805.35929811844,17.65,96.0,1271.0,1.0,170,wb,60805.29069452952,60805.35929811844,1.6439851960167289,5.899580726050772
B171-wb,60806.32775458942,23.24,128.0,1271.0,1.0,171,wb,60805.35929811844,60806.32775458942,5.899580726050772,6.777525441488251
B172-wb,60807.26702860342,10.85,71.0,1271.0,1.0,172,wb,60806.32775458942,60807.26702860342,6.777525441488251,10.94968260882888
B173-wb,60809.31930480552,13.55,128.0,1271.0,0.0,173,wb,60807.26702860342,60809.31930480552,10.94968260882888,17.68053663801402
B174-tr,60812.20948187014,6.23,128.0,1444.0,0.0,174,tr,60809.31930480552,60812.20948187014,17.68053663801402,13.30765137966955
B175-wb,60814.15614807,27.84,128.0,1271.0,1.0,175,wb,60812.20948187014,60814.15614807,13.30765137966955,15.897971441445407
B176-tr,60816.17650009,7.27,128.0,1444.0,0.0,176,tr,60814.15614807,60816.17650009,15.897971441445407,3.706841077131685
B177-wb,60816.33178514989,23.81,128.0,1271.0,0.0,177,wb,60816.17650009,60816.33178514989,3.706841077131685,1.0831894931034185
B179-wb,60817.07128289285,21.07,128.0,1271.0,1.0,179,wb,60816.33178514989,60817.07128289285,1.0831894931034185,6.932532414793968e-08
B178-wb,60817.07128289574,28.74,128.0,1271.0,1.0,178,wb,60817.07128289285,60817.07128289574,6.932532414793968e-08,21.02068681991659
B180-tr,60819.3310890199,7.22,95.0,1444.0,0.0,180,tr,60817.07128289574,60819.3310890199,21.02068681991659,NA
