mjd_day,telescope,unique_hours
60384,stk,10.607944347371813
60385,o8,4.731863378779963
60385,stk,10.607238500495441
60386,o8,10.209808658750262
60386,stk,10.650075742334593
60387,stk,10.590756439429242
60387,tr,3.9552746116532944
60387,wb,9.963774704025127
60388,stk,10.68943520821631
60389,stk,10.60908904275857
60390,stk,10.653254481672775
60391,stk,10.610274516628124
60392,stk,10.621444763091858
60392,wb,2.208381315751467
60393,stk,10.567705243360251
60394,o8,3.982950685196556
60394,stk,10.595039095147513
60395,o8,10.446703112858813
60395,stk,10.687924482102972
60396,o8,7.222022221656516
60396,stk,8.445001970801968
60397,o8,10.203910418611486
60397,stk,3.8089843597845174
60398,stk,6.28251009323867
60398,tr,4.746663358120713
60399,stk,7.057068912370596
60400,stk,10.683008796419017
60401,stk,10.1340889694402
60402,stk,8.64493143215077
60403,stk,6.275076854391955
60404,stk,4.990874176437501
60406,stk,5.601109484850895
60407,stk,6.122558562958147
60408,stk,6.97141093283426
60409,tr,4.556663000083063
60411,stk,4.769063458079472
60412,stk,6.031879069574643
60412,tr,4.548885719035752
60413,stk,4.596365903620608
60414,stk,5.97796964115696
60417,tr,4.548885718162637
60419,tr,4.548885718162637
60423,stk,2.090293536311947
60423,tr,4.5436075673787855
60424,stk,3.914180805149954
60424,wb,10.210910028254148
60425,stk,10.603012156672776
60426,stk,10.612018259475008
60426,wb,10.208142952120397
60427,stk,7.114927005255595
60427,tr,4.9441622426966205
60428,stk,4.38967895245878
60428,wb,10.210873618663754
60429,stk,3.0491327904746868
60430,stk,4.773642239975743
60430,tr,5.138884949265048
60430,wb,10.208397814887576
60431,o8,6.475439680740237
60431,stk,10.688936163322069
60432,wb,9.960016356257256
60433,stk,10.486054183740634
60433,wb,9.958887680608314
60434,o8,9.95953393826494
60434,stk,8.784858073981013
60435,o8,9.957021726644598
60435,stk,10.641329842095729
60436,stk,9.196851351996884
60436,wb,9.960052766022272
60437,o8,9.95867833000375
60437,stk,10.662169319344684
60437,tr,5.735551558784209
60438,o8,5.980497210344765
60438,stk,4.61094305163715
60439,stk,10.590624396514613
60440,stk,10.342438107880298
60440,wb,9.959215360810049
60441,stk,7.103661609697156
60441,tr,5.734995754610281
60441,wb,9.95976149418857
60442,stk,10.788826620031614
60442,wb,9.701840907277074
60443,stk,10.685809853835963
60443,wb,9.960962988145184
60444,stk,10.6709453179501
60445,stk,10.69464798993431
60445,wb,3.984589084982872
60446,stk,10.69933551340364
60447,stk,10.625288326875307
60447,tr,5.537217545032036
60448,stk,9.558203507505823
60448,wb,10.01657088106731
60449,stk,10.566140774928499
60449,wb,10.52279057877604
60450,stk,10.680491517414339
60450,wb,10.122122597589623
60451,o8,0.21999999991385266
60451,stk,10.670567735040095
60452,o8,9.681798543431796
60452,stk,8.759286789048929
60452,wb,0.28221509337890893
60453,stk,10.738938949769363
60453,tr,3.164442239154596
60453,wb,9.92527249903651
60454,stk,10.681383777817246
60454,wb,4.475162488524802
60455,stk,9.450380798487458
60456,stk,10.768330940336455
60456,wb,6.2234810493537225
60457,stk,10.879684062791057
60458,stk,10.738640790455975
60458,wb,3.6503190404037014
60459,stk,8.863065613084473
60460,stk,8.58056200464489
60461,stk,10.777927766321227
60461,tr,3.9555527991615236
60461,wb,7.714752835629042
60462,stk,9.664277471252717
60462,wb,4.152470471919514
60463,wb,7.46425966284005
60464,stk,1.191043790022377
60464,tr,3.5599975192453712
60465,stk,9.50739363685716
60465,wb,1.2193255466991104
60466,stk,7.864498293783981
60466,wb,5.750792640668806
60467,stk,9.383020547626074
60467,wb,1.3490541335195303
60468,stk,3.6938810090068728
60468,tr,2.1783302184194326
60468,wb,5.625251076242421
60469,stk,10.738448643533047
60469,wb,1.482096195628401
60470,stk,8.677410603035241
60470,wb,7.028751716134138
60471,stk,6.4899465824710205
60471,wb,5.4274952002451755
60472,stk,4.138967343256809
60472,wb,2.73973267612746
60473,tr,3.168606507999357
60473,wb,1.7437310402747244
60474,stk,6.553199987683911
60474,wb,6.05252142297104
60475,stk,6.542224892356899
60475,wb,6.646499432448763
60476,stk,2.2469197216560133
60476,wb,0.9574287110008299
60477,stk,6.284355781332124
60477,wb,6.512874827196356
60478,stk,6.5012993591954
60479,stk,6.553201929666102
60479,wb,2.740023947088048
60480,stk,6.501235279545654
60480,wb,4.267641582526267
60481,stk,3.1029694009339437
60481,tr,3.1688841260620393
60481,wb,5.942176178272348
60482,stk,6.455770771892276
60482,wb,5.228935769177042
60483,stk,6.570314107113518
60484,stk,8.227310796675738
60484,wb,5.2291906315949745
60485,stk,6.514316265354864
60485,wb,1.8559397692442872
60486,tr,3.564717023342382
60486,wb,5.614946311223321
60504,wb,4.9808819919708185
60506,wb,4.979716906731483
60507,wb,1.4951311291661114
60509,wb,4.979716906207614
60511,wb,4.978915911284275
60512,wb,4.980372266261838
60515,wb,4.980590720137116
60541,tr,2.130990519770421
60542,tr,2.1174900043406524
60556,stk,1.6460506275761873
