,scan_name,scan_no,Telescope,Source_Name,Obs_Date_String,MJD_start_time,RA_J2000,RA_J2000_(deg),Dec_J2000,Dec_J2000_(deg),Tracking?,Azimuth_(deg),Zenith_Ang_(deg),Number_of_polns,Sample_time_(us),Central_freq_(MHz),Low_channel_(MHz),High_channel_(MHz),Channel_width_(MHz),Number_of_channels,Total_Bandwidth_(MHz),Beam,Beam_FWHM_(deg),Spectra_per_subint,Spectra_per_file,Time_per_subint_(sec),Time_per_file_(sec),bits_per_sample,bytes_per_spectra,samples_per_spectra,bytes_per_subint,samples_per_subint,zero_offset,Invert_the_band?,bytes_in_file_header,MJD_end_time,complete_filename
293,dwi_FRB20240114A_P_Band_2024_02_09_10_40_30_294,no0001,dw,FRB20240114A,2024-02-09T09:40:31,60349.40313657408,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,-39.80062,55.08756,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.41008101853,FRB20240114A_P_Band_2024_02_09_10_40_30.txt
294,dwi_FRB20240114A_P_Band_2024_02_09_10_50_31_295,no0001,dw,FRB20240114A,2024-02-09T09:50:32,60349.410092592596,21:27:40.9011,321.920421319528,04:21:00.6001,4.35016669228816,True,-36.95033,54.14613,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.41703703704,FRB20240114A_P_Band_2024_02_09_10_50_31.txt
295,dwi_FRB20240114A_P_Band_2024_02_09_11_00_32_296,no0001,dw,FRB20240114A,2024-02-09T10:00:33,60349.41704861111,21:27:40.9011,321.920421319528,04:21:00.7000,4.35019443993166,True,-34.03717,53.26558,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.423993055556,FRB20240114A_P_Band_2024_02_09_11_00_32.txt
296,dwi_FRB20240114A_P_Band_2024_02_09_11_10_33_297,no0001,dw,FRB20240114A,2024-02-09T10:10:34,60349.42400462963,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,-31.06193,52.44971,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.43094907408,FRB20240114A_P_Band_2024_02_09_11_10_33.txt
297,dwi_FRB20240114A_P_Band_2024_02_09_11_20_34_298,no0001,dw,FRB20240114A,2024-02-09T10:20:35,60349.430960648155,21:27:40.8028,321.920011508177,04:21:00.3004,4.35008344935765,True,-28.02646,51.70182,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.4379050926,FRB20240114A_P_Band_2024_02_09_11_20_34.txt
298,dwi_FRB20240114A_P_Band_2024_02_09_11_30_35_299,no0001,dw,FRB20240114A,2024-02-09T10:30:36,60349.43791666667,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,-24.93387,51.02548,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.444861111115,FRB20240114A_P_Band_2024_02_09_11_30_35.txt
299,dwi_FRB20240114A_P_Band_2024_02_09_11_40_36_300,no0001,dw,FRB20240114A,2024-02-09T10:40:37,60349.444872685184,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,-21.78724,50.42413,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.45181712963,FRB20240114A_P_Band_2024_02_09_11_40_36.txt
300,dwi_FRB20240114A_P_Band_2024_02_09_11_50_37_301,no0001,dw,FRB20240114A,2024-02-09T10:50:38,60349.451828703706,21:27:40.9011,321.920421319528,04:21:00.4003,4.35011119700116,True,-18.59181,49.90062,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.45877314815,FRB20240114A_P_Band_2024_02_09_11_50_37.txt
301,dwi_FRB20240114A_P_Band_2024_02_09_13_49_15_302,no0001,dw,FRB20240114A,2024-02-09T12:49:26,60349.53432870371,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,20.54649,50.21054,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.541273148156,FRB20240114A_P_Band_2024_02_09_13_49_15.txt
302,dwi_FRB20240114A_P_Band_2024_02_09_13_59_26_303,no0001,dw,FRB20240114A,2024-02-09T12:59:27,60349.541284722225,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,23.71278,50.78195,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,2643890,0.4608,507.62688,32,640,160,1536000,384000,0,False,327,60349.54716003333,FRB20240114A_P_Band_2024_02_09_13_59_26.txt
