,experiment,dish,scan,component,src,t0_ms,f0_MHz,toa_loc,terr_ms,ferr_MHz,gauss2d_twidth_ms,gauss2d_fwidth_MHz,begin_acf_range,end_acf_range,twidth_sigma_ms,fwidth_sigma_MHz,twidtherr_ms,fwidtherr_MHz,off_range_t0,off_range_t1,fluence_jyms,peak_snr,peak_flux_jy,fluence_tot_jyms,scint_bw_MHz,scint_bw_err_MHz,energy_iso_erg_per_hz,spectral_lum_erg_per_s_per_hz,id,sefd_jy,distance_Mpc,dm,toa_mjd_utc,ref_freq_MHz,toa_bary_tdb_inf_freq
0,p47025,o8,no0024,0,scale,1121.7089451821023,1424.0,0,0,0,0.0,0,1118.72,1125.888,-2.351104273222948,45.33403460908964,0.0481778830168883,0.9335497765965364,9552,14436,10.353428779832388,4.552896344937641,3.9061092511666833,0,0.4375810475321138,0.1215019923781357,4.701617911129344e+30,6.559176773338929e+32,B84-o8,0,0,0,0.0,0,0.0
0,p47025,o8,no0024,0,spc,1121.7089451821023,1424.0,0,0,0,0.0,0,1118.72,1125.888,-2.2978750447922995,45.81815457180922,0.0511659556308269,1.0268019535044597,9552,14436,10.099004127382589,4.528039946863458,3.884783967410508,0,0.4113886880748975,0.1194150458035054,4.586080582537202e+30,6.3979918841199805e+32,B84-o8,0,0,0,0.0,0,0.0
0,p47025,o8,no0002.ds.pazi,0,sfxc,256.22015700312176,1424.0,coe,0,0,1.6979126840975831,0,253.184,258.048,-1.7043110296494757,74.1364117538708,0.0861412053376953,4.57719111710063,4268,7608,12.096081034925366,4.991834722654985,6.05664081079215,0,0.2535276291212183,0.0745998789225904,5.492977491578184e+30,1.1293128066566993e+33,B74-o8,0,0,0,60381.19497041647,1480,60381.19085025751
0,p47025,o8,no0002,0,scale,1100.241838751301,1424.0,0,0,0,0.0,0,1095.68,1110.528,-3.264908733016872,71.83559133591143,0.0581882228482933,1.5580959853149503,9292,15888,19.11731516022906,5.584522035836308,4.791181598451958,0,4.989428291077619,0.675707992782535,8.681405289146406e+30,5.846851622539336e+32,B74-o8,0,0,0,0.0,0,0.0
0,p47025,o8,no0002,0,spc,1100.241838751301,1424.0,0,0,0,0.0,0,1095.68,1110.528,2.941616484228164,68.8782088103147,0.0555642607700277,1.5267437287965042,9292,15888,17.846044282847835,5.509486860542346,4.726805963653122,0,4.554098008618585,0.7170919336315866,8.10410572451952e+30,5.458045342483513e+32,B74-o8,0,0,0,0.0,0,0.0
0,p47025,o8,no0026.ds.pazi,0,sfxc,263.6880219771072,1424.0,coe,0,0,1.3897472432995617,0,261.37600000000003,266.24,-1.4413083056271463,47.13060761876683,0.0197710025999364,0.651484374608078,4672,7868,9.89020902464234,4.460703357080938,5.412214045212741,0,0.3637301289095797,0.1052646976371238,4.4912641873433846e+30,9.233684595689526e+32,B85-o8,0,0,0,60381.44031099585,1480,60381.43620078843
0,p47025,o8,no0026,0,scale,1010.3295813527576,1424.0,0,0,0,0.0,0,1007.104,1014.272,1.804571676294986,47.57735114333911,0.0033244560093469,0.6214004268150617,9000,16036,11.784197092905856,4.386343132058411,3.763216684248821,0,0.2922499977724602,0.1257465717648,5.351347200862426e+30,7.465607144060304e+32,B85-o8,0,0,0,0.0,0,0.0
0,p47025,o8,no0026,0,spc,1010.3295813527576,1424.0,0,0,0,0.0,0,1007.104,1014.272,-1.7602390445176916,48.0064794458072,0.6442835853185758,0.6717256059548753,9000,16036,11.64504230778902,4.398501679217997,3.773647981151421,0,0.2582589311531169,0.1305785812783623,5.28815532075802e+30,7.377448829182506e+32,B85-o8,0,0,0,0.0,0,0.0
0,p47025-2,o8,no0026.ds.pazi,0,sfxc,267.0245680749219,1424.0,coe,0,0,1.0193609864975737,0,264.448,269.568,-1.4225173780467772,56.06073699264656,0.0323638253128374,1.3351523854038725,4600,8000,8.352268958344107,3.969111336483308,4.815760745046624,0,0.3056391398516905,0.1178613118270778,3.792866901215697e+30,7.407943166436909e+32,B86-o8,0,0,0,60381.445651582464,1480,60381.441541592656
0,p47025-2,o8,no0026,0,scale,514.4467403787721,1424.0,0,0,0,0.0,0,512.0,518.144,1.548146866531106,53.64575419015673,0.0357756818305497,1.2808649498005975,4308,7884,10.00011872838996,4.928456467901065,4.22831708537487,0,0.3899652634053593,0.1500472318699361,4.541175520365089e+30,7.391236198510887e+32,B86-o8,0,0,0,0.0,0,0.0
