,id,station,toa,toa_utc,peak_sn,fluence,fluence_err,width_ms,spectral-density,spec_den_err,spectral-luminosity,spec_lum_err,bandwidth,central frequency,2bit-wb-tag
43,B42-st,st,60377.6221538713,60377.62641291368,4.83,12.48,2.5,5.24,4.44,0.89,8.46,1.69,98.0,1381.0,0.0
44,B43-st,st,60378.212772955245,60378.2170109091,5.18,21.39,4.28,7.86,7.6,1.52,9.67,1.93,98.0,1381.0,0.0
45,B44-st,st,60378.309136349606,60378.313370741314,13.12,210.7,42.14,35.39,74.88,14.98,21.16,4.23,68.0,1381.0,0.0
46,B45-st,st,60378.45624624431,60378.46047526318,5.25,12.92,2.58,2.4,4.59,0.92,19.1,3.82,98.0,1381.0,0.0
47,B46-wb,wb,60378.50931855167,60378.51355569873,6.42,19.62,3.92,13.31,6.97,1.39,5.24,1.05,128.0,1271.0,1.0
48,B47-wb,wb,60378.55262875134,60378.55686435109,5.04,25.16,5.03,11.26,8.94,1.79,7.94,1.59,128.0,1271.0,1.0
49,B49-st,st,60379.25137502671,60379.25557460732,6.55,14.75,2.95,3.5,5.24,1.05,15.0,3.0,98.0,1381.0,0.0
50,B50-st,st,60379.25601717966,60379.26021658155,4.81,23.6,4.72,6.12,8.39,1.68,13.72,2.74,98.0,1381.0,0.0
51,B51-st,st,60379.26530900924,60379.26950805355,4.63,16.72,3.34,5.68,5.94,1.19,10.47,2.09,98.0,1381.0,0.0
52,B52-wb,wb,60379.26598314168,60379.27019237301,5.37,12.1,2.42,6.14,4.3,0.86,7.0,1.4,128.0,1271.0,1.0
53,B53-st,st,60379.34757485762,60379.35177074785,4.69,30.96,6.19,5.02,11.0,2.2,21.9,4.38,98.0,1381.0,0.0
54,B54-st,st,60379.396612525794,60379.40080654902,4.59,28.46,5.69,8.08,10.11,2.02,12.52,2.5,67.0,1381.0,0.0
55,B55-st,st,60379.53560265205,60379.53979144154,5.85,37.3,7.46,6.99,13.25,2.65,18.96,3.79,66.0,1381.0,0.0
56,B56-st,st,60380.223370109976,60380.22753235888,4.5,31.37,6.27,8.96,11.15,2.23,12.45,2.49,47.0,1381.0,0.0
57,B56-o8,o8,60380.22337312076,60380.22753164882,7.75,31.86,6.37,11.01,11.32,2.26,10.29,2.06,128.0,1424.0,0.0
58,B57-st,st,60380.27193814884,60380.276098455,16.35,87.03,17.41,6.34,30.93,6.19,48.83,9.77,73.0,1381.0,0.0
59,B57-o8,o8,60380.271941144536,60380.27609777975,18.3,44.21,8.84,6.4,15.71,3.14,24.55,4.91,128.0,1424.0,0.0
60,B58-st,st,60380.39282094978,60380.39697645418,5.39,20.79,4.16,5.68,7.39,1.48,13.01,2.6,98.0,1381.0,0.0
61,B58-tr,tr,60380.39283248393,60380.39697603373,6.93,11.43,2.29,11.26,4.06,0.81,3.61,0.72,128.0,1414.0,0.0
62,B59-st,st,60380.39572866998,60380.39988405965,8.0,53.35,10.67,7.43,18.96,3.79,25.53,5.11,98.0,1381.0,0.0
63,B60-st,st,60380.4277951469,60380.43194927406,202.16,668.94,133.79,5.68,237.73,47.55,418.64,83.73,73.0,1381.0,0.0
64,B60-tr,tr,60380.42780668305,60380.43194885303,196.32,406.08,81.22,5.5,144.31,28.86,262.25,52.45,128.0,1414.0,0.0
65,B61-st,st,60380.4406216867,60380.4447753102,7.72,18.01,3.6,2.62,6.4,1.28,24.41,4.88,98.0,1381.0,0.0
